story_id,image_data,name_data
127,https://static2.tinkoff.ru/portfolio/stories/icons/pin.png,Изменить пин-код
254,https://static2.tinkoff.ru/portfolio/stories/icons/strelka_icon_18-07_zahod.png,Пополнить «Стрелку»
865,https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_zahod.jpg,Тинькофф Инвестиции 2.0
1491,https://static2.tinkoff.ru/portfolio/stories/images/fl1_1.jpg,Что делать на Faces & Laces
598,https://static2.tinkoff.ru/portfolio/stories/images/neobichnie_vidi_sporta_02-04_zahod.jpg,Необычные виды спорта
202,https://static2.tinkoff.ru/portfolio/stories/icons/skrit__icon.png,Скрытые карты
1405,https://static2.tinkoff.ru/portfolio/stories/images/chd_creditka-hranit_pechenka.png,Как хранить карту
195,https://static2.tinkoff.ru/portfolio/stories/images/341_cover.jpg,Рестораны для дружеских встреч
1524,https://static2.tinkoff.ru/portfolio/stories/images/1523/bag1_01.jpg,Рюкзаки для школы
205,https://static2.tinkoff.ru/portfolio/stories/images/overdraft_14-05_zahod.jpg,Что такое овердрафт
267,https://static2.tinkoff.ru/portfolio/stories/images/61_cover.jpg,Как не надо экономить
306,https://static2.tinkoff.ru/portfolio/stories/images/0-grace-joint.jpg,Покупки без процентов
279,https://static2.tinkoff.ru/portfolio/stories/images/154a_cover.jpg,Книга или фильм?
320,https://static2.tinkoff.ru/portfolio/stories/images/371_cover.jpg,Узнать свой ИНН
286,https://static2.tinkoff.ru/portfolio/stories/images/348_cover.jpg,Бронь ресторанов
410,https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_1.png,Счет или вклад?
371,https://static2.tinkoff.ru/portfolio/stories/images/kids_card1.jpg,Детская карта
363,https://static2.tinkoff.ru/portfolio/stories/images/multicur_1mini.jpg,Карта с 4 валютами
477,https://static2.tinkoff.ru/portfolio/stories/images/popolni-kartu-kak-ugodno.jpg,Как пополнить карту
534,https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_zahod.jpg,Поправки в ПДД
1365,https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_1.jpg,Танцы до утра
677,https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_zahod.jpg,Как поднять себе зарплату
